source	target	resources
KLF1	HBB	JASPAR_DoRothEA;TRRUST;SIGNOR_CollecTRI;NTNUcuration_CollecTRI2;SIGNOR_CollecTRI2;CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;NTNU.Curated_CollecTRI;CollecTRI2;TRRUST_DoRothEA;GEREDB_CollecTRI;DoRothEA;ARACNe-GTEx_DoRothEA;TRRUST_CollecTRI2;GEREDB_CollecTRI2;TRRUST_CollecTRI
KLF1	HBG1	NTNUcuration_CollecTRI2;CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;CollecTRI2;GEREDB_CollecTRI;GEREDB_CollecTRI2
KLF1	SLC4A1	CollecTRI;ReMap_DoRothEA;CollecTRI2;GEREDB_CollecTRI;DoRothEA;ARACNe-GTEx_DoRothEA;GEREDB_CollecTRI2
LMO2	HBB	ExTRI2_CollecTRI2;CollecTRI;ExTRI_CollecTRI;CollecTRI2
LMO2	HBG1	ExTRI2_CollecTRI2;CollecTRI;ExTRI_CollecTRI;CollecTRI2
LMO2	LYL1	TRRUST;CollecTRI;ExTRI2_CollecTRI2;CollecTRI2;TRRUST_CollecTRI2;TRRUST_CollecTRI
LMO2	NFE2	NTNUcuration_CollecTRI2;CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;NTNU.Curated_CollecTRI;CollecTRI2
LYL1	TAL1	CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;ReMap_DoRothEA;CollecTRI2;DoRothEA;ARACNe-GTEx_DoRothEA
MYB	CCNB1	HTRI_CollecTRI;NTNUcuration_CollecTRI2;CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;HTRIdb;HTRIdb_DoRothEA;NTNU.Curated_CollecTRI;CollecTRI2;DoRothEA;HTRIdb_CollecTRI2
MYB	CEBPA	TRRUST;CollecTRI;ExTRI2_CollecTRI2;RegNetwork_DoRothEA;DoRothEA-A_CollecTRI2;TRED_DoRothEA;CollecTRI2;TRRUST_DoRothEA;DoRothEA;TRRUST_CollecTRI2;TRRUST_CollecTRI
